--------- beginning of crash
04-21 09:05:58.823   645   645 F libc    : crash_dump helper failed to exec
04-21 17:49:01.716  1635  5781 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:01.807  1635  5783 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:01.900  1635  5785 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:01.992  1635  5786 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:02.082  1635  5787 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:02.153  1635  5788 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:02.243  1635  5789 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:02.325  1635  5790 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:02.403  1635  5792 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:02.505  1635  5794 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:02.597  1635  5795 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:02.691  1635  5798 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:02.776  1635  5799 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:02.895  1635  5800 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:02.984  1635  5801 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:03.059  1635  5802 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:03.161  1635  5804 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:03.338  1635  5805 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:03.422  1635  5806 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:03.507  1635  5807 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:03.607  1635  5808 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:03.683  1635  5809 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:03.764  1635  5810 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:03.779  1635  8900 I chatty  : uid=1000(system) Binder:1635_19 expire 11 lines
04-21 17:49:03.902  1635  5811 I chatty  : uid=1000 system_server expire 10 lines
04-21 17:49:05.795  2979  3511 D PowerUI : can't show warning due to - plugged: true status unknown: false
04-21 17:49:18.813  1635  3046 I chatty  : uid=1000(system) Binder:1635_A expire 10 lines
04-21 17:49:19.517  1635  3048 I chatty  : uid=1000(system) Binder:1635_C expire 11 lines
04-21 17:49:30.359  1635  1776 I chatty  : uid=1000(system) ActivityManager expire 11 lines
04-21 17:49:46.917  5923  5923 D ActivityThread: Loading provider contacts;com.android.contacts: com.android.providers.contacts.ContactsProvider2
04-21 17:50:05.655  2979  4359 D PowerUI : can't show warning due to - plugged: true status unknown: false
04-21 17:50:10.135  1635  3042 I chatty  : uid=1000(system) Binder:1635_6 expire 4 lines
04-21 17:50:10.139  1635  1775 I chatty  : uid=1000(system) ActivityManager expire 105 lines
04-21 17:50:14.441  1635  1635 I chatty  : uid=1000 system_server expire 47 lines
04-21 17:50:14.445  1635  4630 I chatty  : uid=1000(system) Binder:1635_13 expire 7 lines
04-21 17:50:14.816  1635  4614 I chatty  : uid=1000(system) Binder:1635_10 expire 14 lines
04-21 17:50:14.819  1635  1776 I chatty  : uid=1000(system) ActivityManager expire 14 lines
04-21 17:50:14.861  1635  1752 I chatty  : uid=1000(system) android.fg expire 19 lines
04-21 17:50:15.891  1635  3045 I chatty  : uid=1000(system) Binder:1635_9 expire 13 lines
04-21 17:50:36.222  1635 12312 I chatty  : uid=1000(system) Binder:1635_1F expire 8 lines
04-21 17:50:38.228  1635  4930 I chatty  : uid=1000(system) Binder:1635_14 expire 10 lines
04-21 17:50:38.229  1635  9801 I chatty  : uid=1000(system) Binder:1635_1C expire 10 lines
04-21 17:50:50.994  1635  1964 I chatty  : uid=1000(system) RollbackManager expire 3 lines
04-21 17:51:05.859  2979  6614 D PowerUI : can't show warning due to - plugged: true status unknown: false
04-21 17:51:07.632  1635  1776 I chatty  : uid=1000(system) ActivityManager expire 23 lines
04-21 17:51:10.166  4561 24776 I AlwaysOnHotwordDetector: onDetected
04-21 17:51:13.128  1635  1771 I chatty  : uid=1000(system) android.bg expire 16 lines
04-21 17:51:13.345  1635  3040 I chatty  : uid=1000(system) Binder:1635_5 expire 14 lines
04-21 17:51:13.345  1635  4599 I chatty  : uid=1000(system) Binder:1635_D expire 9 lines
04-21 17:51:14.139  1635  3043 I chatty  : uid=1000(system) Binder:1635_7 expire 54 lines
04-21 17:51:15.678  1635  1775 I chatty  : uid=1000(system) ActivityManager expire 19 lines
04-21 17:51:15.830  1635  1635 I chatty  : uid=1000 system_server expire 22 lines
04-21 17:51:16.486  1635  2891 I chatty  : uid=1000(system) ConnectivitySer expire 10 lines
04-21 17:51:24.691  1635  8772 I chatty  : uid=1000(system) Binder:1635_17 expire 7 lines
04-21 17:51:36.466  1635  1713 I chatty  : uid=1000(system) Binder:1635_2 expire 11 lines
04-21 17:51:36.929  2979  7147 D PowerUI : can't show warning due to - plugged: true status unknown: false
04-21 17:51:54.577  7255  7811 E ActivityThread: Failed to find provider info for com.google.android.instantapps.supervisor.SupervisorArchiveProvider
04-21 17:52:05.792  2979 10216 D PowerUI : can't show warning due to - plugged: true status unknown: false
04-21 17:52:07.619  1635  1775 I chatty  : uid=1000(system) ActivityManager expire 32 lines
04-21 17:52:10.976  1635  1752 I chatty  : uid=1000(system) android.fg expire 19 lines
04-21 17:52:15.046  7129  7998 D ArtManager: Requesting profile snapshot for com.duosecurity.duomobile:/data/app/~~3pYoZAdb5HFaYB98wsyt5A==/com.duosecurity.duomobile-2eYouJyp765F6gelxqwZ2A==/base.apk
04-21 17:52:17.607  1635  1776 I chatty  : uid=1000(system) ActivityManager expire 10 lines
04-21 17:52:42.721  1635  1878 I chatty  : uid=1000(system) PackageManager expire 18 lines
04-21 17:52:46.807  1635  3038 I chatty  : uid=1000(system) Binder:1635_4 expire 4 lines
04-21 17:53:00.426  1635  2891 I chatty  : uid=1000(system) ConnectivitySer expire 15 lines
04-21 17:53:01.530  1635  1754 I chatty  : uid=1000(system) android.ui expire 4 lines
04-21 17:53:03.839  2979 11758 D PowerUI : can't show warning due to - plugged: true status unknown: false
04-21 17:53:05.792  2979 13347 D PowerUI : can't show warning due to - plugged: true status unknown: false
04-21 17:53:18.529  1635  3047 I chatty  : uid=1000(system) Binder:1635_B expire 1 line
04-21 17:53:21.203  1635  1635 I chatty  : uid=1000 system_server expire 13 lines
04-21 17:53:21.418  1635  1775 I chatty  : uid=1000(system) ActivityManager expire 12 lines
04-21 17:53:22.798  1635  2884 I chatty  : uid=1000(system) NetworkPolicy expire 11 lines
04-21 17:53:46.100  1635  1776 I chatty  : uid=1000(system) ActivityManager expire 17 lines
